HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10757800,33.64253,4,1,3.0,1976,1,1,,50.0,130.08,,1,1,,3.0,,2,1,2,2,3,1,3,3,500.0,1,,2,1,2,2,6562.88,5437.34,4793.02,4489.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26.09,26.09,0,0.0,0.0,5.0,0,0,1120.54,0,0.0,8,6,1
10757900,98.58685,4,3,3.0,1995,2,1,41.0,,141.0,,1,1,,3.0,,2,2,2,2,1,1,1,2,2000.0,2,,2,2,2,2,16092.45,12128.61,11784.42,11784.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,22.85,0,0,3940.99,-39,0.0,8,6,1
10758000,53.14534,4,1,3.0,1995,2,1,,60.0,114.0,,1,1,,3.0,,1,1,2,2,1,1,1,3,800.0,2,,2,1,2,2,20756.78,16101.82,14195.45,14195.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,73.5,73.5,0,0.0,0.0,2.32,0,0,4652.64,-104,286.24,8,6,1
10758100,118.62847,4,1,3.0,1973,2,2,,25.0,50.0,,1,1,,3.0,,2,1,1,2,1,1,3,3,300.0,2,,2,2,2,2,14364.56,12133.31,8204.53,6896.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2231.25,-219,0.0,8,6,1
10758200,44.56413,1,1,7.0,1981,1,1,,90.0,80.0,,1,1,,3.0,,2,1,1,3,3,1,1,3,500.0,2,,2,2,2,2,6905.44,6878.44,6878.44,926.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,27.0,0,0,0.0,0,181.41,8,6,1
10758300,60.86507,2,1,5.0,2003,2,1,,100.0,150.0,,1,1,,3.0,,1,1,1,3,1,1,1,3,800.0,2,,2,2,2,2,6897.1,6486.9,6486.9,3667.02,1998.73,1751.73,0.0,0.0,0.0,0.0,0,0,8.290000000000001,8.290000000000001,0,0.0,0.0,13.0,0,0,397.2,0,0.0,8,6,1
10758400,49.30893,4,1,4.0,1980,2,1,,25.0,100.0,,1,1,,3.0,,1,1,1,2,1,1,1,3,900.0,2,,2,2,2,2,11504.21,10209.14,10209.14,3885.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1295.07,0,0.0,8,6,1
10758500,166.49887,1,1,4.0,1988,2,1,,,42.17,,1,1,,3.0,,2,1,1,1,1,1,1,3,600.0,3,,2,2,2,2,5152.24,4978.87,4576.87,1595.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.69,8.69,0,0.0,0.0,14.0,0,0,159.37,-127,836.07,8,6,1
10758600,112.34008,4,1,1.0,2013,1,1,,30.0,74.0,,1,1,,3.0,,2,2,2,2,3,1,3,2,500.0,1,,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10758700,114.19296,4,1,1.0,1994,2,1,,1.0,45.98,,1,1,,3.0,,2,2,2,2,3,1,3,3,250.0,2,,2,2,2,2,1944.23,1944.23,1932.48,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
