HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
40287800,228.93952,3,1,5.0,2000,2,1,,1.0,57.08,,1,3,,3.0,,2,2,2,2,2,2,1,100.0,1,,2,2,2,2,2016.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,104.21,4,7,2
40287900,212.24165,1,1,6.0,1987,2,1,,,109.33,,1,1,,3.0,,1,1,1,1,3,1,4,850.0,2,,2,2,2,2,19062.28,16373.29,9607.79,9607.79,50.0,50.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2.5,0,0,2686.49,-87,443.07,4,7,2
40288000,261.17171,1,1,4.0,2008,2,1,,,17.0,,3,3,,3.0,,1,1,2,2,3,3,3,500.0,2,,2,2,2,2,5134.74,5134.74,5134.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,225.55,4,7,2
40288500,276.94008,3,1,3.0,1999,2,1,,50.0,75.83,,1,1,,3.0,3.0,1,1,1,1,1,1,3,950.0,2,2.0,2,2,2,2,23539.75,20936.47,17710.91,17710.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.5,7.5,0,0.0,0.0,42.0,0,0,2561.28,-109,263.88,4,7,2
40288700,867.9194,4,5,3.0,2015,2,2,,50.0,140.0,,1,1,,3.0,,2,1,2,3,1,1,3,500.0,1,,2,2,2,2,9158.49,8427.25,5313.01,5313.01,0.0,0.0,3114.24,2910.25,0.0,0.0,1500,0,0.0,0.0,0,0.0,0.0,0.0,0,0,731.24,-17,0.0,4,7,2
40288800,615.52592,1,1,4.0,2000,1,1,,1.0,66.97999999999999,,3,3,,3.0,,1,1,2,2,3,3,2,300.0,2,,2,2,2,2,2918.46,2910.96,2603.16,-7.5,0.0,0.0,0.0,0.0,0.0,307.8,0,0,0.0,0.0,0,0.0,0.0,7.5,0,1200,0.0,0,144.01,4,7,2
40289100,51.55848,1,1,4.0,1985,1,1,,,64.67,,3,3,,3.0,,2,1,2,3,3,3,2,125.0,1,,2,2,2,2,4032.0,4026.0,4026.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,6.0,0,0,0.0,0,0.0,9,7,2
40289200,156.28177,1,5,2.0,2003,2,1,,,79.17,,3,3,,3.0,,2,1,1,3,3,1,3,800.0,2,,2,2,2,2,5918.1,5918.1,5918.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,9,7,2
40289300,54.66314,2,1,4.0,2000,2,1,,,86.5,,1,1,,3.0,,2,1,2,3,3,2,2,500.0,2,,2,2,2,2,5164.22,4593.23,4593.23,4593.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,6.0,0,0,564.99,0,0.0,9,7,2
40289400,123.26101,1,1,3.0,2009,2,1,,160.0,88.41,,1,1,,3.0,,1,1,1,3,1,1,3,600.0,2,,2,2,2,2,9614.01,8168.8,7871.56,7871.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,26.0,0,0,1419.21,0,0.0,9,7,2
