HB030,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,DB090,AP,SL,M_K
108394,4,1,2,1990,2,1,,100.0,350.0,0,1,1,,3.0,,1,1,1,1,1,3,1,3,4,1300,3,,2,2,2,2,22257.27,19594.25,19594.25,11381.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,25,0,0,2638.02,-20,0.0,351.66821,2,6,1
108395,4,1,3,1981,2,1,,600.0,343.67,0,1,1,,3.0,,2,2,2,1,1,3,1,2,2,2500,2,,2,2,2,2,18050.32,18050.32,18050.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,249.54181,10,1,1
108397,1,1,3,1971,2,1,,50.0,101.67,0,3,3,,,,1,1,1,1,1,3,1,3,3,1000,2,,2,2,2,2,8760.0,8760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,396.59,929.7270900000001,10,7,2
108401,4,1,2,1973,2,1,,180.0,395.0,0,1,1,,3.0,,1,1,1,1,1,3,1,1,4,2000,2,,2,2,2,2,43413.62,34331.39,34331.39,34331.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,9082.23,0,0.0,188.91718999999998,6,6,1
108402,4,1,3,1958,1,1,,,260.33,0,1,1,,3.0,,1,1,1,2,1,1,1,1,3,2000,2,,2,2,1,1,43555.85,36269.81,35200.72,22586.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,7286.04,0,0.0,340.75654,10,1,1
108403,1,1,4,1991,2,1,,1000.0,270.0,0,1,1,,3.0,3.0,2,1,1,1,1,3,1,1,2,600,1,2.0,2,2,2,2,8180.0,8035.0,1195.0,355.0,500.0,395.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,40,0,0,105.0,0,0.0,384.51412,2,7,2
108404,3,1,4,1998,1,1,,200.0,159.33,0,3,3,,3.0,,2,1,2,1,1,3,1,3,2,1500,1,,1,2,2,2,28328.15,24933.81,24297.85,9870.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,750,0,0,2644.34,314,0.0,96.17469,5,5,1
108405,4,1,4,1991,2,1,,200.0,420.83,0,1,1,,3.0,,1,1,1,1,1,1,1,1,4,4000,2,,2,2,2,2,124041.99,115239.9,96389.82,96389.82,0.0,0.0,156.0,156.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,75,0,0,8727.09,777,0.0,91.69742,6,4,1
108406,4,1,1,1988,2,1,,200.0,180.25,0,1,1,,3.0,,1,1,1,1,1,3,1,1,3,1500,2,,2,2,2,2,22831.02,18670.44,18670.44,18670.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,4160.58,0,0.0,386.39682,10,1,1
108407,4,1,2,1986,2,1,,1.0,176.99,0,3,3,,3.0,,2,2,2,1,1,2,2,2,2,2000,2,,2,2,2,2,14349.42,14349.42,0.0,0.0,0.0,0.0,624.0,624.0,13081.5,643.92,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,734.35,349.12432,5,7,2
108408,4,1,3,1990,2,1,,200.0,372.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,,2,2,2,2,40758.6,31679.36,29233.85,29233.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,50.0,0,0.0,0,6,0,0,9073.24,0,0.0,720.25406,8,6,1
108409,3,1,3,1993,2,1,,300.0,313.67,0,1,1,,3.0,,2,1,2,1,1,1,1,1,2,1000,1,,2,2,2,2,3149.33,2625.01,2157.01,2157.01,0.0,0.0,468.0,468.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,524.32,897,0.0,425.5449,10,1,1
108410,1,1,4,2007,2,1,,300.0,472.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,5,2000,3,,2,2,2,2,90095.73,69679.64,68509.64,68509.64,0.0,0.0,1170.0,1170.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,20416.09,2763,0.0,838.50673,10,6,1
108411,1,1,5,1994,2,1,,1.0,593.67,0,1,1,,3.0,,1,1,2,1,1,1,1,1,3,4000,2,,2,2,2,2,54606.86,50362.94,49900.94,49900.94,0.0,0.0,312.0,312.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,4243.92,-68,0.0,196.86948,8,7,2
108412,4,1,1,1970,2,2,,200.0,250.0,0,1,1,,2.0,,2,2,2,1,1,2,2,2,1,1000,1,,2,2,2,2,6091.8,6091.8,0.0,0.0,0.0,0.0,0.0,0.0,163.8,2040.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,618.26365,2,2,1
