HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
301899,45.96435,1,1,6.0,1973,2,1,,300.0,430.0,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2000.0,2.0,,2,2,2,2,20409.72,18409.72,18409.72,-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,2000,0,0.0,0,4526.56,6,7,2
301901,165.03126,4,1,4.0,1983,2,2,,100.0,250.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,700.0,1.0,,2,2,2,2,10857.0,10857.0,10857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,615.78,5,6,1
301904,56.54052,4,1,4.0,1975,2,1,,300.0,339.42,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1500.0,2.0,,2,2,2,2,23758.08,23758.08,23758.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,7,6,1
301905,144.60475,1,1,4.0,1983,2,1,,50.0,131.67,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1400.0,2.0,,2,2,2,2,11918.39,11918.39,11918.39,2536.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,507.86,9,7,2
301906,54.38564,2,1,4.0,1982,2,2,,500.0,1200.0,,1,1,,,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3000.0,1.0,,2,2,2,2,21867.96,21867.96,21867.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,2,1
301907,46.57245,4,1,5.0,1982,2,2,,300.0,300.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1500.0,1.0,,2,2,2,2,8583.84,8583.84,8583.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,5,5,1
301908,179.16101,4,1,4.0,1982,2,2,,600.0,307.58,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1000.0,3.0,,1,1,2,2,28204.52,25974.61,25974.61,15466.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2500.0,2500.0,0,0.0,0.0,300,0,0,1929.91,-66,0.0,10,1,1
301909,134.45946,1,1,3.0,1964,2,2,,100.0,456.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2000.0,1.0,,2,2,2,2,19487.99,17903.04,17903.04,8486.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1584.95,0,1181.13,5,7,2
301910,272.10621,3,1,3.0,1987,2,1,,150.0,207.5,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1500.0,2.0,,2,2,2,2,20986.95,20395.05,20395.05,5909.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,591.9,-263,0.0,3,6,1
301911,93.68515,4,1,4.0,1970,2,2,,,550.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1500.0,2.0,,2,2,2,2,61556.86,60356.86,60356.86,41171.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1200.0,0,0.0,3,3,1
301912,45.58937,1,1,4.0,1970,2,1,,1.0,239.83,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1000.0,3.0,,2,2,2,2,25766.26,25766.26,25766.26,7311.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,2224.78,8,7,2
