PB030,HB030,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,RB050,AGE,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL050,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY070G,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
40592401,405924,2,,,40592402,,,,,,,144.64909,64,2,1,2,,1964,3,2,2,3,2,,2,,1,2,,7,3,52,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
40592402,405924,1,,,40592401,,,,,,,144.64909,59,2,1,2,,1969,3,2,2,3,2,,2,,1,2,,5,3,74,,0,0,0,0,12,0,0,0,0,0,0,,,,,1,2,19085.94,14809.21,0,0,5916.64,0,7873.21,7720.21,0,0,0,0,0,0,0,0,0,0,2,7,2
40592501,405925,2,,,40592502,,,,,,,209.39653,29,2,1,2,,2001,5,2,2,3,2,,2,,,,,1,3,21,40,12,0,0,0,0,0,0,0,0,0,0,,91,,11,1,2,18553.33,14767.53,0,0,5751.53,0,0,0,0,0,0,0,0,0,501.92,396.51,0,0,4,7,2
40592502,405925,1,,,40592501,,,,,,,209.39653,29,2,1,2,,1999,3,2,2,3,2,,2,,,,,1,3,21,40,12,0,0,0,0,0,0,0,0,0,0,,16,,13,1,2,36721.23,28099.32,0,0,11383.58,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2
40592503,405925,2,40592502,40592501,,40,0,0,0,0,0,209.39653,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,2
40592601,405926,1,,,40592602,,,,,,,82.80714,78,2,1,2,,,0,3,2,3,2,,2,,1,2,,7,3,61,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,4119,0,0,0,10819.84,0,0,0,0,0,4,7,2
40592602,405926,2,,,40592601,,,,,,,82.80714,77,2,1,2,,,0,3,,2,2,,2,,1,2,,7,4,61,,0,0,0,0,0,12,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,22068.4,0,0,0,0,0,4,7,2
40592701,405927,1,40592705,40592704,,,,,,,,66.28265,17,1,3,2,,2009,2,2,2,3,2,,2,,2,2,,11,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2
40592702,405927,1,40592705,40592704,,,,,,,,66.28265,22,1,3,2,,2004,2,2,2,3,2,,2,,1,1,1,5,3,93,,0,0,0,0,12,0,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2
40592703,405927,2,40592705,40592704,,,20,0,0,0,0,66.28265,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,2
40592704,405927,2,,,40592705,,,,,,,66.28265,41,2,1,2,,1984,2,3,2,3,2,,2,,1,2,,10,3,52,,0,0,0,0,0,0,0,0,0,12,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2
40592705,405927,1,,,40592704,,,,,,,66.28265,39,2,1,2,,1990,3,2,2,3,2,,2,,,,,3,2,61,42,0,0,12,0,0,0,0,0,0,0,0,,1,,3,,,0,0,0,0,0,0,449.18,449.18,5516.44,0,0,0,0,0,0,0,0,0,4,7,2
40592801,405928,1,,,,,,,,,,130.51514,62,4,3,2,,1966,3,3,2,3,2,,2,,1,2,,7,4,61,,0,0,0,9,0,3,0,0,0,0,0,,,,,,,0,0,0,0,0,0,270,270,0,0,0,0,2033.82,224,0,0,0,0,4,7,2
40592901,405929,2,,,,,,,,,,270.80026,48,4,3,2,,1979,3,4,1,2,2,,2,,1,2,,8,3,74,,11,0,0,0,0,0,1,0,0,0,0,,,,,1,2,9167.56,7737.89,0,0,2841.94,0,0,0,0,0,0,0,0,0,1184.02,935.38,0,0,2,7,2
40592902,405929,2,,40592901,,,,,,,,270.80026,28,5,3,,,,,2,2,3,2,,2,,,,,1,3,74,40,12,0,0,0,0,0,0,0,0,0,0,,14,,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
40592903,405929,1,,40592902,,0,,,0,0,90,270.80026,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2
40593101,405931,2,,,40593102,,,,,,,151.17761,44,2,1,2,,1992,5,3,1,3,2,,2,,,,,1,3,41,40,12,0,0,0,0,0,0,0,0,0,0,,1,,6,1,2,15604,12358.64,0,0,4837.24,0,0,0,0,0,0,0,0,0,1809.93,1429.84,0,0,2,7,2
40593102,405931,1,,,40593101,,,,,,,151.17761,49,2,1,2,,1979,4,2,2,3,2,,2,,,,,3,1,61,50,4,0,8,0,0,0,0,0,0,0,0,,1,,2,,,17856.01,14856.2,0,0,5535.36,0,131132.38,128432.38,3688.42,0,0,0,0,0,0,0,0,0,2,7,2
40593103,405931,1,40593102,40593101,,,,,,,,151.17761,23,1,3,1,5,2005,3,1,2,3,2,,2,,,,,3,2,61,50,0,0,12,0,0,0,0,0,0,0,0,,1,,1,,,9600,7987.2,0,0,2976,0,285300.26,285300.26,0,0,0,0,0,0,0,0,0,0,2,7,2
40593201,405932,1,,,40593202,,,,,,,76.55201,79,2,1,2,,1941,1,4,1,2,2,,2,,1,2,,7,3,61,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8845.56,0,0,0,0,0,2,7,2
40593202,405932,2,,,40593201,,,,,,,76.55201,69,2,1,2,,1953,1,4,1,2,2,,2,,1,2,,7,3,91,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8781.13,0,0,0,0,0,2,7,2
40593301,405933,2,,,40593302,,,,,,,137.53877,50,2,1,2,,1980,5,1,2,3,2,,2,,,,,1,3,12,40,12,0,0,0,0,0,0,0,0,0,0,,85,,12,1,1,52490.28,39892.15,0,0,16271.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
40593302,405933,1,,,40593301,,,,,,,137.53877,56,2,1,2,,1972,4,4,1,1,2,,2,,1,2,,8,3,72,,7,0,0,0,5,0,0,0,0,0,0,,,,,1,2,16721.98,12732,0,0,5183.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
40593401,405934,2,,,,,,,,,,56.60957,78,4,3,2,,1947,2,,1,3,2,,2,,1,2,,7,3,52,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10662.25,0,0,0,0,0,2,7,2
40593402,405934,2,40593404,40593405,,,,,,,,56.60957,19,1,3,1,5,2009,3,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
40593403,405934,2,40593404,40593405,,,30,0,0,0,0,56.60957,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2
40593404,405934,1,,,40593405,,,,,,,56.60957,49,2,1,2,,1986,5,1,2,3,2,,2,,,,,1,3,81,40,12,0,0,0,0,0,0,0,0,0,0,,27,,13,1,1,31008.84,23971.04,0,0,9612.74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
40593405,405934,2,,40593401,40593404,,,,,,,56.60957,46,2,1,2,,1986,5,1,2,3,2,,2,,,,,1,3,21,40,12,0,0,0,0,0,0,0,0,0,0,,27,,13,1,1,27734.19,21502.11,0,0,8597.6,0,0,0,0,0,0,0,0,0,347.91,274.85,0,0,2,7,2
40593701,405937,1,,,40593702,,,,,,,210.19641,57,2,1,2,,1969,2,,2,3,2,,2,,1,1,1,5,3,83,,8,0,0,0,4,0,0,0,0,0,0,,,,,1,2,13989.5,10617.44,0,0,4336.75,0,0,0,654.9,0,6420,5400,0,0,418.34,330.49,0,0,2,7,2
