PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10703303,107033,195.16952,21,1,10703301.0,10703302.0,,,,,,,,1.0,3.0,1.0,5.0,2009.0,3.0,,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1
10703304,107033,195.16952,17,2,10703301.0,10703302.0,,,,,,,,1.0,3.0,1.0,3.0,2011.0,2.0,2.0,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1
10703702,107037,227.25076,74,2,,,,,,,,,,4.0,3.0,2.0,,1957.0,4.0,3.0,2.0,2.0,2.0,,2.0,,2.0,,,7.0,,,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12218.04,1175.88,0.0,0.0,0.0,0.0,10,1,1
10704002,107040,79.51443,62,1,,,10704003.0,,,,,,,2.0,1.0,2.0,,1966.0,2.0,4.0,1.0,1.0,2.0,,2.0,,1.0,,,8.0,3.0,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,4,6,1
10704003,107040,79.51443,57,2,,,10704002.0,,,,,,,2.0,1.0,2.0,,1971.0,2.0,3.0,1.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,43.0,,10.0,1.0,2.0,20256.35,18960.0,0.0,0.0,2814.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.84,254.58,0.0,0.0,4,6,1
10704302,107043,317.38517,58,2,,,,,,,,,,5.0,3.0,2.0,,1976.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,,13.0,1.0,1.0,26778.37,21600.0,0.0,0.0,7244.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10704303,107043,317.38517,35,1,,10704302.0,10704304.0,,,,,,,2.0,1.0,2.0,,2000.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,21.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,,13.0,1.0,2.0,49677.17,37920.11,0.0,0.0,15469.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10704304,107043,317.38517,31,2,,,10704303.0,,,,,,,2.0,1.0,2.0,,2005.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,21.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,,13.0,1.0,2.0,40433.45,30900.94,0.0,0.0,12518.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10704502,107045,286.65364,38,2,,,,,,,,,,5.0,3.0,2.0,,2005.0,5.0,2.0,2.0,3.0,2.0,,1.0,2.0,,,,1.0,3.0,13.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,13.0,1.0,1.0,22874.2,18082.62,803.0,0.0,7122.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.83,84.01,0.0,0.0,6,4,1
10704503,107045,286.65364,15,2,,10704502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1
